state,iso_year,week,year,total_rainfall_mm,mean_wind_speed,total_solar_radiation_mjm2,days_in_week
Federal territory of Malaysia,2013,19,2013,194.20000000000002,1.1285714285714286,,7
Federal territory of Malaysia,2013,20,2013,46.4,0.7428571428571429,,7
Federal territory of Malaysia,2013,21,2013,45.800000000000004,0.8857142857142856,,7
Federal territory of Malaysia,2013,22,2013,28.1,1.0999999999999999,,7
Federal territory of Malaysia,2013,23,2013,-8.199999999999996,0.9857142857142858,,7
Federal territory of Malaysia,2013,24,2013,81.4,1.0714285714285714,,7
Federal territory of Malaysia,2013,25,2013,0.0,0.8857142857142859,,7
Federal territory of Malaysia,2013,26,2013,-61.8,1.0142857142857145,,7
Federal territory of Malaysia,2013,27,2013,104.4,0.9857142857142857,,7
Federal territory of Malaysia,2013,28,2013,123.4,1.1428571428571428,,7
Federal territory of Malaysia,2013,29,2013,35.6,1.5142857142857142,,7
Federal territory of Malaysia,2013,30,2013,18.8,0.9,,7
Federal territory of Malaysia,2013,31,2013,7.0,1.5571428571428572,,7
Federal territory of Malaysia,2013,32,2013,173.2,1.2142857142857142,,7
Federal territory of Malaysia,2013,33,2013,-4.699999999999999,1.0142857142857142,,7
Federal territory of Malaysia,2013,34,2013,-28.9,1.1142857142857143,,7
Federal territory of Malaysia,2013,35,2013,71.0,1.2428571428571427,,7
Federal territory of Malaysia,2013,36,2013,85.9,1.3,,7
Federal territory of Malaysia,2013,37,2013,99.7,0.9714285714285715,,7
Federal territory of Malaysia,2013,38,2013,1.4,1.4857142857142858,,7
Federal territory of Malaysia,2013,39,2013,-24.099999999999998,1.2,,7
Federal territory of Malaysia,2013,40,2013,65.6,1.0142857142857142,,7
Federal territory of Malaysia,2013,41,2013,122.19999999999999,1.6142857142857143,,7
Federal territory of Malaysia,2013,42,2013,40.900000000000006,1.4,,7
Federal territory of Malaysia,2013,43,2013,-40.39999999999999,1.5571428571428572,,7
Federal territory of Malaysia,2013,44,2013,29.599999999999998,0.8714285714285713,,7
Federal territory of Malaysia,2013,45,2013,148.60000000000002,1.1857142857142855,,7
Federal territory of Malaysia,2013,46,2013,41.800000000000004,1.4142857142857141,,7
Federal territory of Malaysia,2013,47,2013,129.20000000000002,1.5142857142857142,,7
Federal territory of Malaysia,2013,48,2013,86.6,1.2142857142857142,,7
Federal territory of Malaysia,2013,49,2013,137.6,1.2,,7
Federal territory of Malaysia,2013,50,2013,16.700000000000003,1.242857142857143,,7
Federal territory of Malaysia,2013,51,2013,116.1,1.3,,7
Federal territory of Malaysia,2013,52,2013,48.400000000000006,1.3285714285714285,,7
Federal territory of Malaysia,2014,1,2014,-10.59999999999999,1.5142857142857142,,7
Federal territory of Malaysia,2014,2,2014,81.69999999999999,1.4714285714285715,,7
Federal territory of Malaysia,2014,3,2014,82.79999999999998,1.8714285714285712,,7
Federal territory of Malaysia,2014,4,2014,295.20000000000005,1.8285714285714287,,7
Federal territory of Malaysia,2014,5,2014,-24.699999999999996,1.9285714285714288,,7
Federal territory of Malaysia,2014,6,2014,-33.3,1.842857142857143,16.72,7
Federal territory of Malaysia,2014,7,2014,170.79999999999998,1.5,93.49000000000001,7
Federal territory of Malaysia,2014,8,2014,-29.499999999999996,2.457142857142857,134.62,7
Federal territory of Malaysia,2014,9,2014,4.4,1.9857142857142855,144.89000000000001,7
Federal territory of Malaysia,2014,10,2014,0.0,2.557142857142857,165.17000000000002,7
Federal territory of Malaysia,2014,11,2014,-30.699999999999996,2.5,151.97,7
Federal territory of Malaysia,2014,12,2014,4.0,2.3428571428571425,143.97,7
Federal territory of Malaysia,2014,13,2014,-20.599999999999994,1.4428571428571428,129.04999999999998,7
Federal territory of Malaysia,2014,14,2014,36.199999999999996,1.4428571428571428,145.14999999999998,7
Federal territory of Malaysia,2014,15,2014,-18.299999999999997,0.8142857142857143,113.25,7
Federal territory of Malaysia,2014,16,2014,-60.199999999999996,0.9714285714285714,130.24,7
Federal territory of Malaysia,2014,17,2014,-65.39999999999999,1.2142857142857142,125.23,7
Federal territory of Malaysia,2014,18,2014,34.2,1.0,137.84,7
Federal territory of Malaysia,2014,19,2014,40.8,1.657142857142857,150.53,7
Federal territory of Malaysia,2014,20,2014,84.0,1.0142857142857142,119.12000000000002,7
Federal territory of Malaysia,2014,21,2014,158.2,1.2,109.28999999999999,7
Federal territory of Malaysia,2014,22,2014,92.2,1.0142857142857145,124.21000000000001,7
Federal territory of Malaysia,2014,23,2014,69.5,0.7428571428571429,102.39,7
Federal territory of Malaysia,2014,24,2014,-14.299999999999999,1.0714285714285714,111.22999999999999,7
Federal territory of Malaysia,2014,25,2014,38.2,1.0428571428571427,115.2,7
Federal territory of Malaysia,2014,26,2014,3.2,1.2428571428571427,135.2,7
Federal territory of Malaysia,2014,27,2014,44.29999999999999,1.1142857142857143,125.11,7
Federal territory of Malaysia,2014,28,2014,19.6,1.1,106.5,7
Federal territory of Malaysia,2014,29,2014,8.2,1.0,115.57,7
Federal territory of Malaysia,2014,30,2014,7.900000000000001,1.1571428571428573,129.93,7
Federal territory of Malaysia,2014,31,2014,0.8,1.0285714285714287,115.22999999999999,7
Federal territory of Malaysia,2014,32,2014,0.5,1.1142857142857143,128.63,7
Federal territory of Malaysia,2014,33,2014,141.4,1.0857142857142856,125.30000000000001,7
Federal territory of Malaysia,2014,34,2014,17.2,0.8428571428571429,118.14000000000001,7
Federal territory of Malaysia,2014,35,2014,44.199999999999996,1.3833333333333335,106.92,6
Johor,2008,1,2008,11.875000000000004,2.6125,58.849999999999994,6
Johor,2008,2,2008,98.22500000000001,1.7071428571428569,95.46499999999999,7
Johor,2008,3,2008,12.600000000000005,2.0964285714285715,119.33500000000001,7
Johor,2008,4,2008,5.149999999999999,2.5428571428571423,123.19,7
Johor,2008,5,2008,93.94999999999999,2.042857142857143,94.43,7
Johor,2008,6,2008,-6.0249999999999995,2.5642857142857145,110.61000000000001,7
Johor,2008,7,2008,1.45,2.7214285714285715,121.58499999999998,7
Johor,2008,8,2008,0.0,2.4214285714285717,135.695,7
Johor,2008,9,2008,83.62499999999999,1.8214285714285716,84.55,7
Johor,2008,10,2008,19.75,2.092857142857143,84.13499999999999,7
Johor,2008,11,2008,109.5,1.9642857142857142,89.875,7
Johor,2008,12,2008,65.4,1.5071428571428576,129.485,7
Johor,2008,13,2008,79.94999999999999,1.6857142857142857,133.08,7
Johor,2008,14,2008,44.525,1.4357142857142855,131.14499999999998,7
Johor,2008,15,2008,26.150000000000006,1.3107142857142857,126.96999999999998,7
Johor,2008,16,2008,7.350000000000001,1.4357142857142857,119.35,7
Johor,2008,17,2008,27.775000000000002,1.3964285714285716,89.575,7
Johor,2008,18,2008,13.450000000000001,1.45,119.465,7
Johor,2008,19,2008,11.900000000000002,1.292857142857143,91.92499999999998,7
Johor,2008,20,2008,6.425000000000002,1.7964285714285715,105.155,7
Johor,2008,21,2008,15.775,1.757142857142857,123.795,7
Johor,2008,22,2008,2.5000000000000044,1.4392857142857143,93.45,7
Johor,2008,23,2008,-10.424999999999997,1.3678571428571427,95.38,7
Johor,2008,24,2008,33.175,1.5392857142857144,94.05,7
